BADGEID,COMPANY,JOBTITLE,COUNTRY,BUSINESS_FOCUS,RESPONSIBILITY,FUNCTION,INSTITUTION_TYPE,AGE_RANGE,TICKETDETAILS,SESSIONGROUP,SESSIONNAME,SESSIONDATE,SESSIONTIME,ATTEND_TIME,ATTEND_DAY,ROOM,ROOMCODE,STREAM
8747448,BANK NEGARA MALAYSIA,Director,Malaysia,Payments,Information Technology,Board Member / CEO / CFO,Payments Market Infrastructure,51 to 60,Week-long Participant Pass with lunch,NORMAL,Innotribe closing keynote: Machines are not the answer,10/15/15,15:15,15:50:47,15-Oct-15,Innotribe,INN,Innotribe
8785973,International Chamber of Commerce Academy,Head of Marketing & Sales,Singapore,Trade Services,Business Development/Strategy,Managing Director/ Director / EVP,Exchange,41 to 50,Week-long Participant Pass without lunch,COMMUNITY,How ASEAN+3 connects bond markets towards more integrated markets,10/15/15,12:45,13:00:47,15-Oct-15,Conference room 4,CR4,Community
8860324,MCI Group Singapore ,,Singapore,Not selected,Not selected,Not selected,Not selected,Not selected,Contractor Pass without lunch,NORMAL,Bank readiness in trade finance: The voice of the corporate and banking community,10/15/15,14:00,13:42:22,15-Oct-15,Conference room 5,CR5,Corporate Forum
8598619,SWIFT,Associate Commercial Manager,Singapore,Not selected,Not selected,Not selected,Not selected,Not selected,SWIFT Crew Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:14:41,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8763303,Monetary Authority of Singapore,Deputy Director (Payments & Infrastructure),Singapore,Payments,Compliance officer / Risk Management,Compliance officer / Risk manager,Central Bank,41 to 50,Complimentary Week-long Participant Pass with lunch,NORMAL,ASEAN financial and economic integration workshop,10/15/15,14:00,14:05:46,15-Oct-15,Conference room 1,CR1,ASEAN
8763303,Monetary Authority of Singapore,Deputy Director (Payments & Infrastructure),Singapore,Payments,Compliance officer / Risk Management,Compliance officer / Risk manager,Central Bank,41 to 50,Complimentary Week-long Participant Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:37:27,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8751833,CIMB INVESTMENT BANK BERHAD,DIRECTOR,Malaysia,Trade Services,Product Management,Managing Director/ Director / EVP,Investment Bank,41 to 50,Two Days Participant Pass with lunch,NORMAL,ASEAN banking conversation,10/15/15,10:00,11:02:54,15-Oct-15,Conference room 2,CR2,ASEAN
8751833,CIMB INVESTMENT BANK BERHAD,DIRECTOR,Malaysia,Trade Services,Product Management,Managing Director/ Director / EVP,Investment Bank,41 to 50,Two Days Participant Pass with lunch,NORMAL,"SWIFT for Corporates – Defining win-win strategies in multi-banking treasury management
",10/15/15,13:30,13:34:07,15-Oct-15,SWIFT Auditorium,SA,Corporate Forum
8751833,CIMB INVESTMENT BANK BERHAD,DIRECTOR,Malaysia,Trade Services,Product Management,Managing Director/ Director / EVP,Investment Bank,41 to 50,Two Days Participant Pass with lunch,NORMAL,Analytics for a real-time world,10/15/15,14:00,14:47:56,15-Oct-15,Innotribe,INN,Innotribe
8739144,Standard Chartered,Executive Director,Singapore,Securities,Product Management,Managing Director/ Director / EVP,Custodian,41 to 50,Speaker Pass with lunch,NORMAL,ASEAN exchanges and securities workshop,10/15/15,14:00,14:11:46,15-Oct-15,Conference room 3,CR3,ASEAN
8739144,Standard Chartered,Executive Director,Singapore,Securities,Product Management,Managing Director/ Director / EVP,Custodian,41 to 50,Speaker Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:09:17,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8739144,Standard Chartered,Executive Director,Singapore,Securities,Product Management,Managing Director/ Director / EVP,Custodian,41 to 50,Speaker Pass with lunch,COMMUNITY,How ASEAN+3 connects bond markets towards more integrated markets,10/15/15,12:45,13:08:06,15-Oct-15,Conference room 4,CR4,Community
8739144,Standard Chartered,Executive Director,Singapore,Securities,Product Management,Managing Director/ Director / EVP,Custodian,41 to 50,Speaker Pass with lunch,NORMAL,Business Intelligence for Securities: Watch for your data,10/15/15,11:00,11:02:58,15-Oct-15,SWIFTLab,SWLA,SWIFTLab
8739144,Standard Chartered,Executive Director,Singapore,Securities,Product Management,Managing Director/ Director / EVP,Custodian,41 to 50,Speaker Pass with lunch,NORMAL,"SWIFT for Securities: Insights into compliance and efficiency 
",10/15/15,9:30,9:32:35,15-Oct-15,SWIFT Auditorium,SA,Securities
8731339,HSBC,Head of HSS HBCN,China,Securities,Sales,Managing Director/ Director / EVP,Investment Bank,Prefer not to answer,Week-long Participant Pass with lunch,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:16:10,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8833100,Societe Generale,"Head of Institutional Sales, APAC ",Hong Kong,Derivatives,Sales,Managing Director/ Director / EVP,Investment Bank,51 to 60,Week-long Participant Pass without lunch,NORMAL,ASEAN banking conversation,10/15/15,10:00,9:43:48,15-Oct-15,Conference room 2,CR2,ASEAN
8606459,SWIFT,Head of KYC Compliance Services,Belgium,Cash Management,Product Management,Vice President/ Functional Head,Software Vendor / Consultancy,31 to 40,SWIFT Business Team Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:12:08,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8718438,Information Partners,,United Kingdom,Not selected,Not selected,Not selected,Not selected,Not selected,Conference Staff pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:58:39,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8599829,INVESTEC BANK PLC,Head of Treasury & Trading Operations,United Kingdom,Payments,Financial Operations,Vice President/ Functional Head,Investment Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,Innotribe closing keynote: Machines are not the answer,10/15/15,15:15,15:51:57,15-Oct-15,Innotribe,INN,Innotribe
8598593,SWIFT,Communications Specialist,Belgium,Not selected,Not selected,Not selected,Not selected,Not selected,SWIFT Crew Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:58:07,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8719698,AMBD,Senior consultant in payment systems and banking technology,Brunei Darussalam,Payments,Innovation,Departmental Manager,Central Bank,61 and over,Complimentary Week-long Participant Pass with lunch,NORMAL,ASEAN banking conversation,10/15/15,10:00,10:10:05,15-Oct-15,Conference room 2,CR2,ASEAN
8719698,AMBD,Senior consultant in payment systems and banking technology,Brunei Darussalam,Payments,Innovation,Departmental Manager,Central Bank,61 and over,Complimentary Week-long Participant Pass with lunch,NORMAL,ASEAN financial and economic integration workshop,10/15/15,14:00,14:16:25,15-Oct-15,Conference room 1,CR1,ASEAN
8719698,AMBD,Senior consultant in payment systems and banking technology,Brunei Darussalam,Payments,Innovation,Departmental Manager,Central Bank,61 and over,Complimentary Week-long Participant Pass with lunch,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:35:03,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8719698,AMBD,Senior consultant in payment systems and banking technology,Brunei Darussalam,Payments,Innovation,Departmental Manager,Central Bank,61 and over,Complimentary Week-long Participant Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:01:05,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8741153,Fiserv,Chief Marketing Officer - International Group,United Kingdom,Payments,Business Development/Strategy,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:55:38,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8677348,BANCO INTERNACIONAL DO FUNCHAL SA,"Head of FI's, Multilaterals & Trade Finance",Portugal,Trade Services,Business Development/Strategy,Departmental Manager,Commercial Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:35:59,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8608798,SPANISH BANKING ASSOCIATION,Advisor of Payments,Spain,Payments,Financial Operations,Analyst/Consultant,Commercial Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:55:38,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8608798,SPANISH BANKING ASSOCIATION,Advisor of Payments,Spain,Payments,Financial Operations,Analyst/Consultant,Commercial Bank,41 to 50,Week-long Participant Pass without lunch,COMMUNITY,Making real-time payments a reality: EBA CLEARING’s pan-European approach,10/15/15,14:15,14:11:02,15-Oct-15,Conference room 4,CR4,Community
8608798,SPANISH BANKING ASSOCIATION,Advisor of Payments,Spain,Payments,Financial Operations,Analyst/Consultant,Commercial Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,Corporate Forum Opening Address Day 2: Designing the industry’s digital trade agenda,10/15/15,8:30,8:30:12,15-Oct-15,Conference room 1,CR1,Corporate Forum
8608798,SPANISH BANKING ASSOCIATION,Advisor of Payments,Spain,Payments,Financial Operations,Analyst/Consultant,Commercial Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,Thinking machines and jobs: How banks can respond to the opportunity,10/15/15,12:45,12:42:09,15-Oct-15,Innotribe,INN,Innotribe
8608798,SPANISH BANKING ASSOCIATION,Advisor of Payments,Spain,Payments,Financial Operations,Analyst/Consultant,Commercial Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,Voice of the customer 3.0,10/15/15,10:15,11:16:35,15-Oct-15,Innotribe,INN,Innotribe
8608798,SPANISH BANKING ASSOCIATION,Advisor of Payments,Spain,Payments,Financial Operations,Analyst/Consultant,Commercial Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,Lite2 cash reporting dashboard for corporates,10/15/15,11:45,11:57:30,15-Oct-15,SWIFTLab,SWLA,SWIFTLab
8701359,Societe Generale,Sales Executive,France,Securities,Sales,Relationship Manager,Commercial Bank,51 to 60,Week-long Participant Pass without lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:07:34,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8598611,SWIFT,,Malaysia,Not selected,Not selected,Not selected,Not selected,Not selected,SWIFT Crew Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:14:36,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8800187,ECOBANK GHANA LIMITED,"Head, Cards & eBanking Operations",Ghana,Payments,Technology Operations,Departmental Manager,Commercial Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:26:02,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8598403,ECOBANK KENYA LTD.,"GROUP HEAD, CARDS& ELECTRONIC BANKING",Kenya,Payments,Business Development/Strategy,Vice President/ Functional Head,Corporate,41 to 50,Week-long Participant Pass without lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:26:00,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8578886,SWIFT,Product Manager Banking Market,Belgium,Payments,Marketing,Vice President/ Functional Head,Software Vendor / Consultancy,31 to 40,SWIFT Business Team Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:52:13,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8578886,SWIFT,Product Manager Banking Market,Belgium,Payments,Marketing,Vice President/ Functional Head,Software Vendor / Consultancy,31 to 40,SWIFT Business Team Pass with lunch,COMMUNITY,Making real-time payments a reality: EBA CLEARING’s pan-European approach,10/15/15,14:15,14:14:32,15-Oct-15,Conference room 4,CR4,Community
8716732,BBH,Partner,Luxembourg,Securities,Business Development/Strategy,Board Member / CEO / CFO,Custodian,Prefer not to answer,Week-long Participant Pass with lunch,NORMAL,Capital market harmonisation: How to align market liberalisation and regulatory supervision?,10/15/15,10:15,9:57:27,15-Oct-15,Conference room 4,CR4,Securities
8739078,Scottish Development International,Senior Executive,United Kingdom,Trade Services,Business Development/Strategy,Account Manager,Corporate,61 and over,Week-long Participant Pass with lunch,NORMAL,Innotribe closing keynote: Machines are not the answer,10/15/15,15:15,15:52:23,15-Oct-15,Innotribe,INN,Innotribe
8750536,ZURICH INSURANCE COMPANY LTD. HK - BRANCH,Head Global Investment Operations,Hong Kong,Securities,Financial Operations,Section Head/Supervisor,Investment Manager,41 to 50,Week-long Participant Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:45:16,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8779215,SWIFT,Global Account Director,Belgium,Securities,Sales,Account Manager,Software Vendor / Consultancy,31 to 40,SWIFT Business Team Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:01:55,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8569762,BANCO SANTANDER S.A Ciudad Grupo Santander.Edf.PAMPA,Global Head of Payments,Spain,Payments,Technology Operations,Managing Director/ Director / EVP,Commercial Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:06:30,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8569762,BANCO SANTANDER S.A Ciudad Grupo Santander.Edf.PAMPA,Global Head of Payments,Spain,Payments,Technology Operations,Managing Director/ Director / EVP,Commercial Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:02:56,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8569762,BANCO SANTANDER S.A Ciudad Grupo Santander.Edf.PAMPA,Global Head of Payments,Spain,Payments,Technology Operations,Managing Director/ Director / EVP,Commercial Bank,41 to 50,Week-long Participant Pass with lunch,COMMUNITY,Making real-time payments a reality: EBA CLEARING’s pan-European approach,10/15/15,14:15,14:16:19,15-Oct-15,Conference room 4,CR4,Community
8718462,Information Partners,,United Kingdom,Not selected,Not selected,Not selected,Not selected,Not selected,Conference Staff pass with lunch,NORMAL,Securities financing: A necessary evil for corporates and asset managers?,10/15/15,14:00,14:02:44,15-Oct-15,Workshop C,WSC,Corporate Forum
8718462,Information Partners,,United Kingdom,Not selected,Not selected,Not selected,Not selected,Not selected,Conference Staff pass with lunch,NORMAL,"Accelerating and scaling expertise with cognitive computing from IBM Research and Watson
",10/15/15,9:15,9:14:25,15-Oct-15,Innotribe,INN,Innotribe
8700041,Societe Generale,Relationship Manager,France,Payments,Sales,Relationship Manager,Commercial Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:07:33,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8803885,SWIFT,Head of HR,Belgium,Trade Services,Business Development/Strategy,Vice President/ Functional Head,Payments Market Infrastructure,41 to 50,SWIFT Business Team Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:53:52,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8803885,SWIFT,Head of HR,Belgium,Trade Services,Business Development/Strategy,Vice President/ Functional Head,Payments Market Infrastructure,41 to 50,SWIFT Business Team Pass with lunch,NORMAL,"SWIFT for Corporates – Defining win-win strategies in multi-banking treasury management
",10/15/15,13:30,13:29:58,15-Oct-15,SWIFT Auditorium,SA,Corporate Forum
8704662,COTTI TRADE & TREASURY,Founder & Managing Director,United Kingdom,Trade Services,Business Development/Strategy,Board Member / CEO / CFO,Corporate,51 to 60,Speaker Pass with lunch,NORMAL,Bank readiness in trade finance: The voice of the corporate and banking community,10/15/15,14:00,14:01:18,15-Oct-15,Conference room 5,CR5,Corporate Forum
8704662,COTTI TRADE & TREASURY,Founder & Managing Director,United Kingdom,Trade Services,Business Development/Strategy,Board Member / CEO / CFO,Corporate,51 to 60,Speaker Pass with lunch,NORMAL,Corporate Forum Opening Address Day 2: Designing the industry’s digital trade agenda,10/15/15,8:30,8:30:56,15-Oct-15,Conference room 1,CR1,Corporate Forum
8606461,SWIFT,Head of Interfaces & Integration ,Belgium,Payments,Marketing,Departmental Manager,Software Vendor / Consultancy,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:59:03,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8871844,Rapier Group,,United States,Not selected,Not selected,Not selected,Not selected,Not selected,Contractor Pass without lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:55:20,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8699459,Citi ,"Director of Market Practice, Standards and SWIFT",United States,Securities,Product Management,Managing Director/ Director / EVP,Commercial Bank,51 to 60,Week-long Participant Pass - Exhibitor voucher used without lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:55:28,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8843347,Thomson Reuters Asia Pte Ltd,"Head of Sales Specialists, Financial & Risk, ASEAN",Singapore,Trade Services,Business Development/Strategy,Departmental Manager,Software Vendor / Consultancy,Prefer not to answer,One Day Participant Pass with lunch,NORMAL,Analytics for a real-time world,10/15/15,14:00,14:49:01,15-Oct-15,Innotribe,INN,Innotribe
8843347,Thomson Reuters Asia Pte Ltd,"Head of Sales Specialists, Financial & Risk, ASEAN",Singapore,Trade Services,Business Development/Strategy,Departmental Manager,Software Vendor / Consultancy,Prefer not to answer,One Day Participant Pass with lunch,NORMAL,"SWIFT for Securities: Insights into compliance and efficiency 
",10/15/15,9:30,9:38:02,15-Oct-15,SWIFT Auditorium,SA,Securities
8716697,BBH,Partner,Luxembourg,Securities,Business Development/Strategy,Board Member / CEO / CFO,Custodian,Prefer not to answer,Week-long Participant Pass with lunch,NORMAL,Capital market harmonisation: How to align market liberalisation and regulatory supervision?,10/15/15,10:15,10:10:17,15-Oct-15,Conference room 4,CR4,Securities
8813809,IBM,Client Director,United Kingdom,Payments,Information Technology,Managing Director/ Director / EVP,Software Vendor / Consultancy,51 to 60,Week-long Participant Pass without lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:12:25,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8776423,BANGKO SENTRAL NG PILIPINAS,Manager,Philippines,Payments,Information Technology,Account Manager,Central Bank,31 to 40,Complimentary Week-long Participant Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:59:40,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8776423,BANGKO SENTRAL NG PILIPINAS,Manager,Philippines,Payments,Information Technology,Account Manager,Central Bank,31 to 40,Complimentary Week-long Participant Pass with lunch,COMMUNITY,The Lifecycle of Payments ,10/15/15,9:00,9:09:40,15-Oct-15,Conference room 4,CR4,Community
8704967,Lloyds Banking Group,"Payments Technical Services Director, Global Payments",United Kingdom,Payments,Business Development/Strategy,Managing Director/ Director / EVP,Commercial Bank,41 to 50,Speaker Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:02:47,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8655187,NEDBANK LIMITED,General Manager,South Africa,Securities,Financial Operations,Vice President/ Functional Head,Commercial Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:50:04,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8655187,NEDBANK LIMITED,General Manager,South Africa,Securities,Financial Operations,Vice President/ Functional Head,Commercial Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,"Accelerating and scaling expertise with cognitive computing from IBM Research and Watson
",10/15/15,9:15,9:14:39,15-Oct-15,Innotribe,INN,Innotribe
8855647,ITAU UNIBANCO S.A,Head of Sales,Brazil,Cash Management,Sales,Vice President/ Functional Head,Commercial Bank,31 to 40,Week-long Participant Pass without lunch,COMMUNITY,The Lifecycle of Payments ,10/15/15,9:00,9:06:12,15-Oct-15,Conference room 4,CR4,Community
8855647,ITAU UNIBANCO S.A,Head of Sales,Brazil,Cash Management,Sales,Vice President/ Functional Head,Commercial Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,Alternative financing models: Opportunities or threats for banks?,10/15/15,10:15,10:11:39,15-Oct-15,Conference room 1,CR1,Corporate Forum
8855647,ITAU UNIBANCO S.A,Head of Sales,Brazil,Cash Management,Sales,Vice President/ Functional Head,Commercial Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,Thinking machines and jobs: How banks can respond to the opportunity,10/15/15,12:45,13:12:38,15-Oct-15,Innotribe,INN,Innotribe
8608209,SWIFT Italy Group Secretariat,Business Analyst,Italy,Payments,Business Development/Strategy,Analyst/Consultant,Software Vendor / Consultancy,31 to 40,Week-long Participant Pass without lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:47:27,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8719415,Gartner,Sr. Managing Partner,Italy,Payments,Business Development/Strategy,Relationship Manager,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:08:08,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8719415,Gartner,Sr. Managing Partner,Italy,Payments,Business Development/Strategy,Relationship Manager,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,Alternative financing models: Opportunities or threats for banks?,10/15/15,10:15,10:18:38,15-Oct-15,Conference room 1,CR1,Corporate Forum
8719415,Gartner,Sr. Managing Partner,Italy,Payments,Business Development/Strategy,Relationship Manager,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,Analytics for a real-time world,10/15/15,14:00,14:49:24,15-Oct-15,Innotribe,INN,Innotribe
8719415,Gartner,Sr. Managing Partner,Italy,Payments,Business Development/Strategy,Relationship Manager,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,Thinking machines and jobs: How banks can respond to the opportunity,10/15/15,12:45,12:33:34,15-Oct-15,Innotribe,INN,Innotribe
8663247,SWIFT,Manager,Malaysia,Payments,Compliance officer / Risk Management,Departmental Manager,Retail Bank,31 to 40,Trainee SWIFT Team Pass with lunch,NORMAL,ASEAN Day Opening,10/15/15,9:00,8:52:32,15-Oct-15,Conference room 2,CR2,ASEAN
8663247,SWIFT,Manager,Malaysia,Payments,Compliance officer / Risk Management,Departmental Manager,Retail Bank,31 to 40,Trainee SWIFT Team Pass with lunch,NORMAL,ASEAN banking conversation,10/15/15,10:00,10:08:33,15-Oct-15,Conference room 2,CR2,ASEAN
8663247,SWIFT,Manager,Malaysia,Payments,Compliance officer / Risk Management,Departmental Manager,Retail Bank,31 to 40,Trainee SWIFT Team Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:52:26,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8663247,SWIFT,Manager,Malaysia,Payments,Compliance officer / Risk Management,Departmental Manager,Retail Bank,31 to 40,Trainee SWIFT Team Pass with lunch,COMMUNITY,"Data governance insights: Challenges, impacts and opportunities ",10/15/15,10:15,10:12:59,15-Oct-15,Conference room 5,CR5,Community
8663247,SWIFT,Manager,Malaysia,Payments,Compliance officer / Risk Management,Departmental Manager,Retail Bank,31 to 40,Trainee SWIFT Team Pass with lunch,NORMAL,Thinking machines and jobs: How banks can respond to the opportunity,10/15/15,12:45,12:40:04,15-Oct-15,Innotribe,INN,Innotribe
8747420,BANK INDONESIA DPD-PSAD,Manager,Indonesia,Trade Services,Customer Services,Section Head/Supervisor,Central Bank,51 to 60,Complimentary Week-long Participant Pass with lunch,NORMAL,ASEAN banking conversation,10/15/15,10:00,11:05:54,15-Oct-15,Conference room 2,CR2,ASEAN
8606662,SWIFT,Executive Assistant to the CEO,Belgium,Payments,Business Development/Strategy,Relationship Manager,Central Bank,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:54:51,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8811243,ING,Chief Innovation Officer ING Belgium,Belgium,Payments,Business Development/Strategy,Vice President/ Functional Head,Commercial Bank,Prefer not to answer,Week-long Participant Pass - Exhibitor voucher used without lunch,NORMAL,"Accelerating and scaling expertise with cognitive computing from IBM Research and Watson
",10/15/15,9:15,9:04:59,15-Oct-15,Innotribe,INN,Innotribe
8811243,ING,Chief Innovation Officer ING Belgium,Belgium,Payments,Business Development/Strategy,Vice President/ Functional Head,Commercial Bank,Prefer not to answer,Week-long Participant Pass - Exhibitor voucher used without lunch,NORMAL,Analytics for a real-time world,10/15/15,14:00,14:36:53,15-Oct-15,Innotribe,INN,Innotribe
8811243,ING,Chief Innovation Officer ING Belgium,Belgium,Payments,Business Development/Strategy,Vice President/ Functional Head,Commercial Bank,Prefer not to answer,Week-long Participant Pass - Exhibitor voucher used without lunch,NORMAL,Voice of the customer 3.0,10/15/15,10:15,11:19:51,15-Oct-15,Innotribe,INN,Innotribe
8606332,SWIFT,Head of Interface Applications,Belgium,Payments,Information Technology,Vice President/ Functional Head,Software Vendor / Consultancy,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:53:09,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8606332,SWIFT,Head of Interface Applications,Belgium,Payments,Information Technology,Vice President/ Functional Head,Software Vendor / Consultancy,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,"Accelerating and scaling expertise with cognitive computing from IBM Research and Watson
",10/15/15,9:15,9:05:25,15-Oct-15,Innotribe,INN,Innotribe
8606332,SWIFT,Head of Interface Applications,Belgium,Payments,Information Technology,Vice President/ Functional Head,Software Vendor / Consultancy,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,Business Intelligence for Securities: Watch for your data,10/15/15,11:00,11:09:27,15-Oct-15,SWIFTLab,SWLA,SWIFTLab
8706014,INPAY A/S,"VP, Strategic Partnerships, Banking ",Denmark,Payments,Business Development/Strategy,Vice President/ Functional Head,Payments Market Infrastructure,31 to 40,Week-long Participant Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:43:02,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8832733,INTESA SANPAOLO SPA,Manager,Italy,Cash Management,Business Development/Strategy,Relationship Manager,Commercial Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:59:07,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8832733,INTESA SANPAOLO SPA,Manager,Italy,Cash Management,Business Development/Strategy,Relationship Manager,Commercial Bank,41 to 50,Week-long Participant Pass with lunch,COMMUNITY,Making real-time payments a reality: EBA CLEARING’s pan-European approach,10/15/15,14:15,14:04:54,15-Oct-15,Conference room 4,CR4,Community
8832733,INTESA SANPAOLO SPA,Manager,Italy,Cash Management,Business Development/Strategy,Relationship Manager,Commercial Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,Voice of the customer 3.0,10/15/15,10:15,11:14:04,15-Oct-15,Innotribe,INN,Innotribe
8673851,Bolero International Ltd,Global Head Financial Institutions & Partners,Spain,Trade Services,Sales,Vice President/ Functional Head,Software Vendor / Consultancy,51 to 60,Week-long Participant Pass without lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:43:57,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8673851,Bolero International Ltd,Global Head Financial Institutions & Partners,Spain,Trade Services,Sales,Vice President/ Functional Head,Software Vendor / Consultancy,51 to 60,Week-long Participant Pass without lunch,NORMAL,Corporate Forum Opening Address Day 2: Designing the industry’s digital trade agenda,10/15/15,8:30,8:39:05,15-Oct-15,Conference room 1,CR1,Corporate Forum
8673851,Bolero International Ltd,Global Head Financial Institutions & Partners,Spain,Trade Services,Sales,Vice President/ Functional Head,Software Vendor / Consultancy,51 to 60,Week-long Participant Pass without lunch,NORMAL,Progressing the digital trade agenda: Are banks on board?,10/15/15,9:00,9:50:48,15-Oct-15,Conference room 1,CR1,Corporate Forum
