BADGEID,COMPANY,JOBTITLE,COUNTRY,BUSINESS_FOCUS,RESPONSIBILITY,FUNCTION,INSTITUTION_TYPE,AGE_RANGE,TICKETDETAILS,SESSIONGROUP,SESSIONNAME,SESSIONDATE,SESSIONTIME,ATTEND_TIME,ATTEND_DAY,ROOM,ROOMCODE,STREAM
8768870,Ericsson,Head of EMEA Sales,United Arab Emirates,Payments,Sales,Departmental Manager,Payments Market Infrastructure,31 to 40,Week-long Participant Pass without lunch,COMMUNITY,"Change will never be this slow again - Reaching your next billion customers
",10/14/15,14:00,13:54:07,14-Oct-15,Conference room 3,CR3,Community
8768870,Ericsson,Head of EMEA Sales,United Arab Emirates,Payments,Sales,Departmental Manager,Payments Market Infrastructure,31 to 40,Week-long Participant Pass without lunch,COMMUNITY,Who's driving the future of payments anyway?,10/14/15,15:30,15:32:57,14-Oct-15,Conference room 3,CR3,Community
8768870,Ericsson,Head of EMEA Sales,United Arab Emirates,Payments,Sales,Departmental Manager,Payments Market Infrastructure,31 to 40,Week-long Participant Pass without lunch,NORMAL,Innotribe Startup Challenge Finale,10/14/15,14:00,16:39:16,14-Oct-15,Conference room 2,CR2,Innotribe
8748077,ICICI BANK LIMITED,Deputy General Manager,India,Trade Services,Information Technology,Section Head/Supervisor,Commercial Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,Innotribe Startup Challenge Finale,10/14/15,14:00,15:16:07,14-Oct-15,Conference room 2,CR2,Innotribe
8748077,ICICI BANK LIMITED,Deputy General Manager,India,Trade Services,Information Technology,Section Head/Supervisor,Commercial Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,Why banks need FinTech hubs,10/14/15,12:45,13:44:16,14-Oct-15,Innotribe,INN,Innotribe
8748077,ICICI BANK LIMITED,Deputy General Manager,India,Trade Services,Information Technology,Section Head/Supervisor,Commercial Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,Capturing new payments transactions opportunities from developing trade corridors,10/14/15,10:15,10:11:57,14-Oct-15,Conference room 4,CR4,Payments
8518992,UNITED TECHNOLOGIES CORPORATION,Treasury Director,United States,Cash Management,Financial Operations,Corporate Treasurer,Corporate,Prefer not to answer,Week-long Participant Pass without lunch,NORMAL,Corporate Forum Opening Address Day 1: Shaping the future of treasury and trade,10/14/15,8:30,8:20:35,14-Oct-15,Conference room 1,CR1,Corporate Forum
8518992,UNITED TECHNOLOGIES CORPORATION,Treasury Director,United States,Cash Management,Financial Operations,Corporate Treasurer,Corporate,Prefer not to answer,Week-long Participant Pass without lunch,NORMAL,The future of corporate banking – What do corporate clients expect from banks? ,10/14/15,9:00,9:49:26,14-Oct-15,Conference room 1,CR1,Corporate Forum
8518992,UNITED TECHNOLOGIES CORPORATION,Treasury Director,United States,Cash Management,Financial Operations,Corporate Treasurer,Corporate,Prefer not to answer,Week-long Participant Pass without lunch,NORMAL,Treasury management practices in Asia: Which key models prevail in the region?,10/14/15,10:15,10:05:12,14-Oct-15,Conference room 1,CR1,Corporate Forum
8737638,UBS AG,"Head Corporate & Institutional Clients, APAC Regio",Singapore,Cash Management,Business Development/Strategy,Managing Director/ Director / EVP,Corporate,41 to 50,One Day Participant Pass without lunch,COMMUNITY,Who's driving the future of payments anyway?,10/14/15,15:30,15:24:44,14-Oct-15,Conference room 3,CR3,Community
8737638,UBS AG,"Head Corporate & Institutional Clients, APAC Regio",Singapore,Cash Management,Business Development/Strategy,Managing Director/ Director / EVP,Corporate,41 to 50,One Day Participant Pass without lunch,NORMAL,Innotribe Startup Challenge Finale,10/14/15,14:00,13:57:18,14-Oct-15,Conference room 2,CR2,Innotribe
8617878,RABOBANK NEDERLAND,Lead Business Change Manager,Netherlands,Payments,Financial Operations,Departmental Manager,Commercial Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:20:53,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8617878,RABOBANK NEDERLAND,Lead Business Change Manager,Netherlands,Payments,Financial Operations,Departmental Manager,Commercial Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,ERP vs. TMS vs. Excel - Friends or rivals?,10/14/15,14:00,14:21:45,14-Oct-15,Conference room 1,CR1,Corporate Forum
8842302,Soft-Finance SA,CEO,Switzerland,Securities,Innovation,Board Member / CEO / CFO,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,ERP vs. TMS vs. Excel - Friends or rivals?,10/14/15,14:00,14:24:41,14-Oct-15,Conference room 1,CR1,Corporate Forum
8842302,Soft-Finance SA,CEO,Switzerland,Securities,Innovation,Board Member / CEO / CFO,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,Innotribe day opening,10/14/15,9:15,8:58:57,14-Oct-15,Innotribe,INN,Innotribe
8710884,Telekom Malaysia Berhad,Treasurer,Malaysia,Cash Management,Financial Operations,Corporate Treasurer,Corporate,51 to 60,Speaker Pass with lunch,NORMAL,Corporate Forum Opening Address Day 1: Shaping the future of treasury and trade,10/14/15,8:30,8:27:54,14-Oct-15,Conference room 1,CR1,Corporate Forum
8736833,MCI,,Singapore,Not selected,Not selected,Not selected,Not selected,Not selected,Contractor Pass without lunch,COMMUNITY,Market infrastructure integration - What remains to be done?,10/14/15,9:00,8:51:44,14-Oct-15,Conference room 5,CR5,Community
8736833,MCI,,Singapore,Not selected,Not selected,Not selected,Not selected,Not selected,Contractor Pass without lunch,COMMUNITY,Real-time payment and digital banking: Nordic session,10/14/15,10:15,9:46:26,14-Oct-15,Conference room 5,CR5,Community
8736833,MCI,,Singapore,Not selected,Not selected,Not selected,Not selected,Not selected,Contractor Pass without lunch,COMMUNITY,"24/7 real-time payment initiatives, Asian perspective - Part 2",10/14/15,14:00,13:35:21,14-Oct-15,Conference room 5,CR5,Community
8736833,MCI,,Singapore,Not selected,Not selected,Not selected,Not selected,Not selected,Contractor Pass without lunch,COMMUNITY,Payments fraud: How to de-risk mission-critical business transactions ,10/14/15,15:30,14:54:34,14-Oct-15,Conference room 5,CR5,Community
8736833,MCI,,Singapore,Not selected,Not selected,Not selected,Not selected,Not selected,Contractor Pass without lunch,NORMAL,"Despite what you heard, colour does matter!",10/14/15,9:30,9:39:06,14-Oct-15,Conference room 3,CR3,Diversity
8775122,George P Johnson,,United Kingdom,Not selected,Not selected,Not selected,Not selected,Not selected,Contractor Pass without lunch,NORMAL,Corporate Forum Opening Address Day 1: Shaping the future of treasury and trade,10/14/15,8:30,8:28:00,14-Oct-15,Conference room 1,CR1,Corporate Forum
8766734,Citi,"ICG–MSST Custody, Issuer & OpenWealth Serv Tech",United Kingdom,Securities,Information Technology,Managing Director/ Director / EVP,Commercial Bank,51 to 60,One Day Participant Pass without lunch,NORMAL,Why banks need FinTech hubs,10/14/15,12:45,13:43:13,14-Oct-15,Innotribe,INN,Innotribe
8579575,GLOBETAX SERVICES INC, Managing Director & COO ,United States,Securities,Technology Operations,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,Securities transparency: Is this the next frontier? ,10/14/15,9:00,9:48:15,14-Oct-15,Conference room 2,CR2,Compliance Forum
8520203,DNB BANK ASA,Chief dealer,Norway,Payments,Financial Operations,Departmental Manager,Commercial Bank,51 to 60,Week-long Participant Pass with lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:21:24,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8520203,DNB BANK ASA,Chief dealer,Norway,Payments,Financial Operations,Departmental Manager,Commercial Bank,51 to 60,Week-long Participant Pass with lunch,COMMUNITY,Market infrastructure integration - What remains to be done?,10/14/15,9:00,8:47:55,14-Oct-15,Conference room 5,CR5,Community
8520203,DNB BANK ASA,Chief dealer,Norway,Payments,Financial Operations,Departmental Manager,Commercial Bank,51 to 60,Week-long Participant Pass with lunch,COMMUNITY,Real-time payment and digital banking: Nordic session,10/14/15,10:15,10:04:19,14-Oct-15,Conference room 5,CR5,Community
8852395,Oracle,Sales Director,United Kingdom,Payments,Business Development/Strategy,Departmental Manager,Software Vendor / Consultancy,51 to 60,Two Days Participant Pass without lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:19:04,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8834127,IBM,Manager - IBM Commerce Banking & Payments,Germany,Payments,Information Technology,Departmental Manager,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,COMMUNITY,Real-time payment and digital banking: Nordic session,10/14/15,10:15,10:05:00,14-Oct-15,Conference room 5,CR5,Community
8834127,IBM,Manager - IBM Commerce Banking & Payments,Germany,Payments,Information Technology,Departmental Manager,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,The future of corporate banking – What do corporate clients expect from banks? ,10/14/15,9:00,9:47:26,14-Oct-15,Conference room 1,CR1,Corporate Forum
8629334,SCHWEIZERISCHE NATIONALBANK,Head of Backoffice,Switzerland,Securities,Technology Operations,Section Head/Supervisor,Central Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,"SWIFT for Real-Time Payments
",10/14/15,9:30,9:25:12,14-Oct-15,SWIFT Auditorium,SA,Payments
8629334,SCHWEIZERISCHE NATIONALBANK,Head of Backoffice,Switzerland,Securities,Technology Operations,Section Head/Supervisor,Central Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,"Why financial institutions need an ISO 20022 implementation strategy now
",10/14/15,10:30,10:27:13,14-Oct-15,SWIFT Auditorium,SA,SWIFT Auditorium
8708848,Acarate Consulting,Managing Director,Singapore,Cash Management,Business Development/Strategy,Board Member / CEO / CFO,Software Vendor / Consultancy,51 to 60,Speaker Pass with lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:32:22,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8708848,Acarate Consulting,Managing Director,Singapore,Cash Management,Business Development/Strategy,Board Member / CEO / CFO,Software Vendor / Consultancy,51 to 60,Speaker Pass with lunch,NORMAL,Treasury management practices in Asia: Which key models prevail in the region?,10/14/15,10:15,10:15:28,14-Oct-15,Conference room 1,CR1,Corporate Forum
8708848,Acarate Consulting,Managing Director,Singapore,Cash Management,Business Development/Strategy,Board Member / CEO / CFO,Software Vendor / Consultancy,51 to 60,Speaker Pass with lunch,NORMAL,ERP vs. TMS vs. Excel - Friends or rivals?,10/14/15,14:00,14:01:09,14-Oct-15,Conference room 1,CR1,Corporate Forum
8709053,THE NORTHERN TRUST COMPANY,"Senior Vice President, Asset Servicing",United States,Securities,Product Management,Managing Director/ Director / EVP,Custodian,41 to 50,Week-long Participant Pass with lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:26:47,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8709053,THE NORTHERN TRUST COMPANY,"Senior Vice President, Asset Servicing",United States,Securities,Product Management,Managing Director/ Director / EVP,Custodian,41 to 50,Week-long Participant Pass with lunch,COMMUNITY,Thrive or die - Why not piggy back innovation on regulation?,10/14/15,9:00,9:08:39,14-Oct-15,Conference room 4,CR4,Community
8709053,THE NORTHERN TRUST COMPANY,"Senior Vice President, Asset Servicing",United States,Securities,Product Management,Managing Director/ Director / EVP,Custodian,41 to 50,Week-long Participant Pass with lunch,NORMAL,"Simplify sanctions compliance with SWIFT’s expanding shared services portfolio
",10/14/15,13:30,13:20:13,14-Oct-15,SWIFT Auditorium,SA,Compliance Forum
8709053,THE NORTHERN TRUST COMPANY,"Senior Vice President, Asset Servicing",United States,Securities,Product Management,Managing Director/ Director / EVP,Custodian,41 to 50,Week-long Participant Pass with lunch,NORMAL,"Why financial institutions need an ISO 20022 implementation strategy now
",10/14/15,10:30,10:30:01,14-Oct-15,SWIFT Auditorium,SA,SWIFT Auditorium
8709053,THE NORTHERN TRUST COMPANY,"Senior Vice President, Asset Servicing",United States,Securities,Product Management,Managing Director/ Director / EVP,Custodian,41 to 50,Week-long Participant Pass with lunch,NORMAL,Asset servicing: Issuer to investor automation,10/14/15,14:00,13:59:14,14-Oct-15,Workshop A,WSA,Securities
8855515,IBM,Client Executive HSBC ,United Kingdom,Payments,Information Technology,Account Manager,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass with lunch,NORMAL,Capturing new payments transactions opportunities from developing trade corridors,10/14/15,10:15,10:09:26,14-Oct-15,Conference room 4,CR4,Payments
8676495,INTEL CORPORATION,Global Sales Director,United States,Payments,Business Development/Strategy,Managing Director/ Director / EVP,Software Vendor / Consultancy,Prefer not to answer,Week-long Participant Pass with lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:20:18,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8825338,MISYS,"Corporate Development & M&A, Director",Singapore,Trade Services,Business Development/Strategy,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,Treasury management practices in Asia: Which key models prevail in the region?,10/14/15,10:15,10:21:37,14-Oct-15,Conference room 1,CR1,Corporate Forum
8825338,MISYS,"Corporate Development & M&A, Director",Singapore,Trade Services,Business Development/Strategy,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,Innotribe Startup Challenge Finale,10/14/15,14:00,14:01:15,14-Oct-15,Conference room 2,CR2,Innotribe
8825338,MISYS,"Corporate Development & M&A, Director",Singapore,Trade Services,Business Development/Strategy,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,Why banks need FinTech hubs,10/14/15,12:45,13:43:30,14-Oct-15,Innotribe,INN,Innotribe
8849073,Hotelbeds Group,Head of Treasury APAC,Singapore,Cash Management,Compliance officer / Risk Management,Corporate Treasurer,Corporate,31 to 40,Corporate Forum Pass with lunch,COMMUNITY,The internationalisation of RMB: New opportunities for ASEAN economies,10/14/15,15:30,15:20:41,14-Oct-15,Conference room 4,CR4,Community
8849073,Hotelbeds Group,Head of Treasury APAC,Singapore,Cash Management,Compliance officer / Risk Management,Corporate Treasurer,Corporate,31 to 40,Corporate Forum Pass with lunch,COMMUNITY,Real-time payment and digital banking: Nordic session,10/14/15,10:15,10:10:21,14-Oct-15,Conference room 5,CR5,Community
8849073,Hotelbeds Group,Head of Treasury APAC,Singapore,Cash Management,Compliance officer / Risk Management,Corporate Treasurer,Corporate,31 to 40,Corporate Forum Pass with lunch,NORMAL,Treasury management practices in Asia: Which key models prevail in the region?,10/14/15,10:15,10:17:52,14-Oct-15,Conference room 1,CR1,Corporate Forum
8849073,Hotelbeds Group,Head of Treasury APAC,Singapore,Cash Management,Compliance officer / Risk Management,Corporate Treasurer,Corporate,31 to 40,Corporate Forum Pass with lunch,NORMAL,ERP vs. TMS vs. Excel - Friends or rivals?,10/14/15,14:00,14:15:31,14-Oct-15,Conference room 1,CR1,Corporate Forum
8849073,Hotelbeds Group,Head of Treasury APAC,Singapore,Cash Management,Compliance officer / Risk Management,Corporate Treasurer,Corporate,31 to 40,Corporate Forum Pass with lunch,NORMAL,Efficiency as a service (EaaS) – The SWIFT community cloud ,10/14/15,14:30,14:28:01,14-Oct-15,SWIFT Auditorium,SA,Corporate Forum
8773322,Invest Northern Ireland,Business Development Director,United Kingdom,Payments,Sales,Relationship Manager,Corporate,21 to 30,Complimentary Week-long Participant Pass with lunch,NORMAL,Innotribe Startup Challenge Finale,10/14/15,14:00,13:20:21,14-Oct-15,Conference room 2,CR2,Innotribe
8781530,SIX SIS AG,Head Division Partner Exchange and Securities Serv,Switzerland,Securities,Information Technology,Departmental Manager,Securities Market Infrastructure,61 and over,Week-long Participant Pass without lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:27:35,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8781530,SIX SIS AG,Head Division Partner Exchange and Securities Serv,Switzerland,Securities,Information Technology,Departmental Manager,Securities Market Infrastructure,61 and over,Week-long Participant Pass without lunch,NORMAL,Why banks need FinTech hubs,10/14/15,12:45,13:45:55,14-Oct-15,Innotribe,INN,Innotribe
8606451,SWIFT,,Belgium,Payments,Product Management,Departmental Manager,Software Vendor / Consultancy,41 to 50,SWIFT Business Team Pass with lunch,NORMAL,"SWIFTRef, come and see how to improve straight-through processing of your payments",10/14/15,9:15,9:34:29,14-Oct-15,SWIFTLab,SWLA,SWIFTLab
8606451,SWIFT,,Belgium,Payments,Product Management,Departmental Manager,Software Vendor / Consultancy,41 to 50,SWIFT Business Team Pass with lunch,NORMAL,Alliance Messaging Hub,10/14/15,12:00,12:07:27,14-Oct-15,SWIFTLab,SWLA,SWIFTLab
8620720,BANQUE NATIONALE DE BELGIQUE,Senior Adviser,Belgium,Payments,Business Development/Strategy,Section Head/Supervisor,Central Bank,31 to 40,Week-long Participant Pass with lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:22:25,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8620720,BANQUE NATIONALE DE BELGIQUE,Senior Adviser,Belgium,Payments,Business Development/Strategy,Section Head/Supervisor,Central Bank,31 to 40,Week-long Participant Pass with lunch,COMMUNITY,The internationalisation of RMB: New opportunities for ASEAN economies,10/14/15,15:30,15:35:35,14-Oct-15,Conference room 4,CR4,Community
8620720,BANQUE NATIONALE DE BELGIQUE,Senior Adviser,Belgium,Payments,Business Development/Strategy,Section Head/Supervisor,Central Bank,31 to 40,Week-long Participant Pass with lunch,COMMUNITY,Market infrastructure integration - What remains to be done?,10/14/15,9:00,9:11:42,14-Oct-15,Conference room 5,CR5,Community
8620720,BANQUE NATIONALE DE BELGIQUE,Senior Adviser,Belgium,Payments,Business Development/Strategy,Section Head/Supervisor,Central Bank,31 to 40,Week-long Participant Pass with lunch,COMMUNITY,"24/7 real-time payment initiatives, Asian perspective - Part 2",10/14/15,14:00,14:00:32,14-Oct-15,Conference room 5,CR5,Community
8620720,BANQUE NATIONALE DE BELGIQUE,Senior Adviser,Belgium,Payments,Business Development/Strategy,Section Head/Supervisor,Central Bank,31 to 40,Week-long Participant Pass with lunch,NORMAL,SWIFT Institute meets the Compliance Forum ,10/14/15,8:00,8:11:22,14-Oct-15,Conference room 2,CR2,Compliance Forum
8620720,BANQUE NATIONALE DE BELGIQUE,Senior Adviser,Belgium,Payments,Business Development/Strategy,Section Head/Supervisor,Central Bank,31 to 40,Week-long Participant Pass with lunch,NORMAL,Why banks need FinTech hubs,10/14/15,12:45,13:44:14,14-Oct-15,Innotribe,INN,Innotribe
8579651,LANDESBANK HESSEN-THUERINGEN GZ,Head of e-banking & individual solutions,Germany,Cash Management,Customer Services,Section Head/Supervisor,Commercial Bank,41 to 50,Chairpersons Pass,COMMUNITY,Market infrastructure integration - What remains to be done?,10/14/15,9:00,8:58:03,14-Oct-15,Conference room 5,CR5,Community
8694599,SAXOBANK A/S,Head of Payment Services,Denmark,Payments,Technology Operations,Departmental Manager,Investment Bank,31 to 40,Week-long Participant Pass with lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:28:26,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8694599,SAXOBANK A/S,Head of Payment Services,Denmark,Payments,Technology Operations,Departmental Manager,Investment Bank,31 to 40,Week-long Participant Pass with lunch,COMMUNITY,"24/7 real-time payment initiatives, Asian perspective - Part 2",10/14/15,14:00,14:03:40,14-Oct-15,Conference room 5,CR5,Community
8741948,European Central Bank,Project Coordinator,Germany,Securities,Product Management,Analyst/Consultant,Central Bank,21 to 30,Week-long Participant Pass with lunch,COMMUNITY,Market infrastructure integration - What remains to be done?,10/14/15,9:00,8:52:26,14-Oct-15,Conference room 5,CR5,Community
8766314,Asian Private Banker,Reporter,Hong Kong,Cash Management,Technology Operations,Account Manager,Software Vendor / Consultancy,21 to 30,Press Pass with lunch,NORMAL,Why banks need FinTech hubs,10/14/15,12:45,12:57:31,14-Oct-15,Innotribe,INN,Innotribe
8606752,SWIFT,"Managing Director, Head of Pricing & Biz Analysisl",Belgium,Payments,Marketing,Managing Director/ Director / EVP,Software Vendor / Consultancy,61 and over,SWIFT Business Team Pass with lunch,NORMAL,ERP vs. TMS vs. Excel - Friends or rivals?,10/14/15,14:00,14:15:09,14-Oct-15,Conference room 1,CR1,Corporate Forum
8848276,ACCOR,Senior Vice President,France,Cash Management,Financial Operations,Corporate Treasurer,Corporate,Prefer not to answer,Corporate Forum Pass with lunch,NORMAL,Treasury management practices in Asia: Which key models prevail in the region?,10/14/15,10:15,10:26:52,14-Oct-15,Conference room 1,CR1,Corporate Forum
8848276,ACCOR,Senior Vice President,France,Cash Management,Financial Operations,Corporate Treasurer,Corporate,Prefer not to answer,Corporate Forum Pass with lunch,NORMAL,ERP vs. TMS vs. Excel - Friends or rivals?,10/14/15,14:00,13:48:03,14-Oct-15,Conference room 1,CR1,Corporate Forum
8819552,SIX SIS AG,Senior Company Officer,Switzerland,Securities,Business Development/Strategy,Managing Director/ Director / EVP,Securities Market Infrastructure,51 to 60,Week-long Participant Pass with lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:34:40,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8861672,Cargill Asia Pacific Treasury Ltd,Treasury Analyst,Singapore,Cash Management,Financial Operations,Analyst/Consultant,Corporate,Prefer not to answer,Corporate Forum Pass with lunch,COMMUNITY,Payments fraud: How to de-risk mission-critical business transactions ,10/14/15,15:30,15:19:48,14-Oct-15,Conference room 5,CR5,Community
8861672,Cargill Asia Pacific Treasury Ltd,Treasury Analyst,Singapore,Cash Management,Financial Operations,Analyst/Consultant,Corporate,Prefer not to answer,Corporate Forum Pass with lunch,NORMAL,Corporate Forum Opening Address Day 1: Shaping the future of treasury and trade,10/14/15,8:30,8:22:31,14-Oct-15,Conference room 1,CR1,Corporate Forum
8861672,Cargill Asia Pacific Treasury Ltd,Treasury Analyst,Singapore,Cash Management,Financial Operations,Analyst/Consultant,Corporate,Prefer not to answer,Corporate Forum Pass with lunch,NORMAL,ERP vs. TMS vs. Excel - Friends or rivals?,10/14/15,14:00,13:47:35,14-Oct-15,Conference room 1,CR1,Corporate Forum
8653935,CGI Group Inc.,Payment Solutions Manager,Sweden,Payments,Business Development/Strategy,Analyst/Consultant,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,COMMUNITY,Real-time payment and digital banking: Nordic session,10/14/15,10:15,10:14:54,14-Oct-15,Conference room 5,CR5,Community
8848056,FIRSTRAND BANK LIMITED,Head of Operations,South Africa,Cash Management,Financial Operations,Vice President/ Functional Head,Investment Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,"Despite what you heard, colour does matter!",10/14/15,9:30,9:48:07,14-Oct-15,Conference room 3,CR3,Diversity
8711469,EMIRATES BANK INTERNATIONAL PJSC,COO Global Markets & Treasury,United Arab Emirates,Derivatives,Financial Operations,Managing Director/ Director / EVP,Commercial Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,SWIFTRef - come and see how to improve straight-through processing of your payments,10/14/15,16:30,16:25:05,14-Oct-15,SWIFTLab,SWLA,SWIFTLab
8779585,Banking Computer Services,Project Director,Singapore,Payments,Business Development/Strategy,Departmental Manager,Payments Market Infrastructure,51 to 60,Week-long Participant Pass - Exhibitor voucher used without lunch,NORMAL,Why banks need FinTech hubs,10/14/15,12:45,13:43:42,14-Oct-15,Innotribe,INN,Innotribe
8870263,Fexserv Financial Servcies,General Manager,Malta,Payments,Business Development/Strategy,Managing Director/ Director / EVP,Payments Market Infrastructure,41 to 50,Week-long Participant Pass without lunch,COMMUNITY,Real-time payment and digital banking: Nordic session,10/14/15,10:15,10:19:12,14-Oct-15,Conference room 5,CR5,Community
8850085,SWIFT,Head of Enterprise Operations,Belgium,Payments,Technology Operations,Vice President/ Functional Head,Payments Market Infrastructure,41 to 50,SWIFT Business Day Pass with lunch,COMMUNITY,Thrive or die - Why not piggy back innovation on regulation?,10/14/15,9:00,8:55:19,14-Oct-15,Conference room 4,CR4,Community
8850085,SWIFT,Head of Enterprise Operations,Belgium,Payments,Technology Operations,Vice President/ Functional Head,Payments Market Infrastructure,41 to 50,SWIFT Business Day Pass with lunch,NORMAL,"Despite what you heard, colour does matter!",10/14/15,9:30,9:26:19,14-Oct-15,Conference room 3,CR3,Diversity
8850085,SWIFT,Head of Enterprise Operations,Belgium,Payments,Technology Operations,Vice President/ Functional Head,Payments Market Infrastructure,41 to 50,SWIFT Business Day Pass with lunch,NORMAL,Innotribe Startup Challenge Finale,10/14/15,14:00,14:17:40,14-Oct-15,Conference room 2,CR2,Innotribe
8701997,Zafin,"Director, Business Development",United States,Cash Management,Business Development/Strategy,Managing Director/ Director / EVP,Software Vendor / Consultancy,31 to 40,Week-long Participant Pass - Exhibitor voucher used without lunch,NORMAL,How to create and sustain a diverse talent pipeline,10/14/15,10:15,11:25:42,14-Oct-15,Conference room 3,CR3,Diversity
8609446,RABOBANK NEDERLAND,EVP Financial Logistics,Netherlands,Payments,Business Development/Strategy,Vice President/ Functional Head,Corporate,51 to 60,Week-long Participant Pass without lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:20:44,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8609446,RABOBANK NEDERLAND,EVP Financial Logistics,Netherlands,Payments,Business Development/Strategy,Vice President/ Functional Head,Corporate,51 to 60,Week-long Participant Pass without lunch,COMMUNITY,Real-time payment and digital banking: Nordic session,10/14/15,10:15,10:18:04,14-Oct-15,Conference room 5,CR5,Community
8609446,RABOBANK NEDERLAND,EVP Financial Logistics,Netherlands,Payments,Business Development/Strategy,Vice President/ Functional Head,Corporate,51 to 60,Week-long Participant Pass without lunch,NORMAL,Innotribe Startup Challenge Finale,10/14/15,14:00,14:36:57,14-Oct-15,Conference room 2,CR2,Innotribe
8609446,RABOBANK NEDERLAND,EVP Financial Logistics,Netherlands,Payments,Business Development/Strategy,Vice President/ Functional Head,Corporate,51 to 60,Week-long Participant Pass without lunch,NORMAL,"SWIFT for Real-Time Payments
",10/14/15,9:30,9:31:03,14-Oct-15,SWIFT Auditorium,SA,Payments
8838062,Deutsche Boerse Group,Compliance Affairs Asia,Singapore,Securities,Compliance officer / Risk Management,Compliance officer / Risk manager,Exchange,41 to 50,Compliance Forum Pass with lunch,COMMUNITY,"24/7 real-time payment initiatives, Asian perspective - Part 2",10/14/15,14:00,14:33:46,14-Oct-15,Conference room 5,CR5,Community
8838062,Deutsche Boerse Group,Compliance Affairs Asia,Singapore,Securities,Compliance officer / Risk Management,Compliance officer / Risk manager,Exchange,41 to 50,Compliance Forum Pass with lunch,NORMAL,SWIFT Institute meets the Compliance Forum ,10/14/15,8:00,7:51:10,14-Oct-15,Conference room 2,CR2,Compliance Forum
8838062,Deutsche Boerse Group,Compliance Affairs Asia,Singapore,Securities,Compliance officer / Risk Management,Compliance officer / Risk manager,Exchange,41 to 50,Compliance Forum Pass with lunch,NORMAL,Securities transparency: Is this the next frontier? ,10/14/15,9:00,9:54:25,14-Oct-15,Conference room 2,CR2,Compliance Forum
8838062,Deutsche Boerse Group,Compliance Affairs Asia,Singapore,Securities,Compliance officer / Risk Management,Compliance officer / Risk manager,Exchange,41 to 50,Compliance Forum Pass with lunch,NORMAL,Messaging for corresponding banking on SWIFT (Lite2 and sanctions screening),10/14/15,14:30,14:45:11,14-Oct-15,SWIFTLab,SWLA,SWIFTLab
8519750,SWIFT,Head Of Sibos,Belgium,Securities,Product Management,Departmental Manager,Securities Market Infrastructure,41 to 50,SWIFT Crew Pass with lunch,NORMAL,Innotribe day opening,10/14/15,9:15,9:02:45,14-Oct-15,Innotribe,INN,Innotribe
